"Passage","Tag"
"Your chastity, 1 swear to you, shall run no risk in that time from me. But on the slightest noise at the door of the chamber, on the least opposition on your part, or any other, on the least attack upon myself, the three balls with which each of these barrels is charged shall dispatch you and your infant at once. This I swear by my hope of salvation !\ The landlord and his wife would sooner haye ex- pected the dissolution of nature than such an address. Both were silent for a minute, and then both did all they could. The woman piteously entreated Tottleben to permit her to go, threatened to swoon, to fall in labour on the spot, nay even to die ; but in vain. The husband was first at a loss to conceive what all this meant ; he then had recourse to entreaties and protes- tations, assuring the Count that he was safe in his house as though he were in Abraham's bosom.""","other"
"""It ought not to be, Sir,"" replied my friend in a very modest tone. ""Ought not to be. Sir!"" Mr. Sykes returned, with some degree of sar- castic warmth ; ""then, Sir, how must you have spent those days of innocent mirth, not to be able to look back on them with envy !"" This sarcasm roused the spirit of my friend Lewellin, who, though mild, was not disposed to be run down by unprovoked insolence; and he said, in a tone somewhat elevated, ""Then I presume. Sir, you look back to the days of your childhood, and sigh over joys departed, never to return ; but permit me to ask, how have you spent the years of manhood, not to have yet attained the possession of a much more rational and exalted happiness than you enjoyed when you were flying a kite or spinning a top? If you think, Sir.","other"
"I shall not again transgress — not, at least, if I see you are of the same mind — but I want to be of use to you. You will not refuse me this pleasure. And who knows ? "" — smiling — "" I may grow strong enough to transplant you into that division of the heart where brotherly affection only flourishes Myra, you frighten me. You look so awfully white, and Are you sure you are not making some mistake ? "" "" No,"" she returned, in a low tone, but firmly. "" I will never be your wife, Jack.""","domestic"
"See what a fine situation your brother has got ! He has na been at home since he went to the college. O he 's a good boy, Stuart, and I am sure that he '11 do well.\ \"" It is very odd,\"" said James, wishing to change the subject for a little, \"" that Stuart never writes me. You told me that you saw him in Glasgow, but what more ? do Colin Dowell and he still lodge together? and are they as brotherly as ever ?\"" \""""","domestic"
"Even to myself I am pitiless at such times ; but if I am trusted and borne with, and not provoked by injustice or misunderstanding, I can act a tolerably amiable part."" "" You need not fear that I shall ever pro- voke your anger by unkindness,'' said her companion, now assuming the humility of the q3 lover. "" I should not dare to treat you with indijfference, much less with injustice. You have been too long the one bright star of my life to become ever an object to be regarded carelessly by me. You will be to me always the one being on earth for whom I shall entertain the same feelings of ardent love and attachment. Heaven knows what I have suffered for you during the last year ! Ay, for the last year, for you had been in my thoughts long before I dared to breathe a word of my love to your father or yourself. My love for you during many months has been of the most intense description, and you must excuse me, dearest, if it has led me into any unreasonable observations.","domestic"
"Some- times, I am angry, and sometimes disquieted, and, though Mary does everything she can, to reconcile her different duties, 1 miss her many a time in what the bairns say ; for Janet has now^ a greater share of the talk in the nursery, than mamma ; and the little girls make no secret of their lamentation, that mamma is not with them, as she used to be, and does not hear them their lessons any more. Mary has a hard task of it, my dear sister ; and I do not think that Lilliesleaf himself approves, though it is all done to please him. But, whether it is right to please her husband, at the expense of her bairns, and to the wasting of the estate, is a question I do not like to consider, though it presses on my mind every day. I never had any such temptation ‚Äî but I believe a woman who is as fortunate as I have been, or as my son Claud's wife is, is very apt to be a hard judge of others. To think of me judging Mary hardly !","domestic"
"How ? What humbuggin' stuff askin' such a questyin ! Han't we all equil shares in 'em ? Coorse we have. Tharfor, them as wants 'em, must pay for 'em. An' they as wants 'em so bad as to do shootin' for 'em, surely won't objeck to that. Theer appear to be four candydates in the field ; an', kewrous enuf, they're set in pairs, two for each one o' the gals.","other"
""" cried Emily. '' My pride has been sufficiently rebuked by finding myself in need of the kind- ness of one to whom it had been unjustly ex- hibited. Be your own indiscretion visited, in its turn, by a little compunction for having driven me to the resource of hauteur as a gua- rantee against intrusion. My situation at Mr. Hanmer's is a peculiar one. Without intending to wound my feelings, he gave me to understand, on learning our first interview ‚Äî but we will say no more about it! ‚Äî War is over! ‚Äî","other"
"Joyful, indeed, is the Major, and assiduous ; Peggy looks demure, taking care not to meet the grave glances of her friends ; while the Baby, serious, unconscious, regards in an impressed kind of way the great panoramic town and its background of mountains. Mrs. Three- penny*bit has declared herself quite charmed with the Baby, Her ingenuousness, she affirms, is as sweet and fresh and wholesome as the flowers in a cottage garden. There are no underhand ways about her. Her eyes never say two things at once. She wouldn't sit in corners, and speak low, and ignore a whole room-full of people for the sake of one. And so forth. It is curious to notice how envy crops up on the most unexpected occasions.","other"
"‚Äî and I'm blowed if I think Jack Ketch himself would like to have to do with such a fel- low !\ Smedley began to whimper and snivel; while the Burker, deliberately drawing forth his dreadful' looking clasp-knife, proceeded to cut the chords of the box which was in the attic. He opened it : he fSund all his money safe; and his eyes glistened with a savage joy as he resumed possession of his gold. He continued to ransack all the contents of the bos : but he found therein nothing else worth taking. \"" Where's -your own money ?\"" he demanded of Smedley. \""Here, I suppose!\"" and he caught up the pantaloons which the gold-beater had been wearing, and which were lying over a chair.""","domestic"
"Nay ; you hold jowy silence, Folle-Farine."" She did not move ; her upraised face spoke with- out words the passion of her prayer. ‚ô¶ *'' Save him ! ‚Äî save him ! So little, so you say : and the gods will not hear."" "" The gods are all dead, ‚Äî Folle-Farine."" ""","other"
"— you can't prove it ; you sailor people can only assert a thing, and then swear fifty oaths that it is so — you can't prove it, I say."" "" ' Prove it !' Yes, I can prove it."" "" Stuff! no such thing."" "" But I say I can."" "" You know you can't ; or if you can — do it."" "" Well, so I win — Now let me see, what was it about?"" "" What — was — it — about?"" repeated Lady Sap- phira, trjdng to recoUect herself in vain. — ""","domestic"
"He, too, was breathless, his whole physical being agi- tated, his head hot and throbbing, his heart choking him. He could not speak to the Duchess, whom he met a moment after coming along the corridor with a packet of papers in her hand. \It is all over,\"" he said incoherently, waving his hand as he passed her. The only idea in his mind for the moment was of in- dignity and wrong. CHAPTER IX. ACTING FOR HERSELF. The Duchess's little sitting - room had not for years enclosed so melancholy a group.""","domestic"
"Every trick, every subtle invention to cheat the enemy that I could read of, I treasured up carefully, being fully impressed with the notion that roguery meant law, and equity was only another name for odd and even. \ My days were spent haranguing special juries of housemaids and laundresses, cross-examining the cook, charging the under butler, and passing sentence of death upon the pantry boy, who, I may add, was invariably hanged when the court rose. \"" If the mutton were overdone, or the turkey burned, I drew up an indictment against old Margaret, and against the kitchen-maid as ac- complice ; and the family hungered while I harangued ; and, in fact, into such disrepute did I bring the legal profession, by the score of annoyance of which I made it the vehicle, that my father got a kind of holy horror of law courts, judges, and crown solicitors, and absented himself from the assizes the same year, for which, being a high sheriif, he paid a penalty of ¬£5 00. \"" The next day I was sent off in disgrace to Dublin to begin my career in college, and eat the usual quartos and folios of beef and mutton which qualify a man for the woolsack. \"" Years rolled over, in which, after an ineffectual effort to get through college, the only examination I ever got being a jubilee for the king's birth-day, I was at length called to the Irish bar, and saluted by my friends as Counsellor Power. The whole thing was so like a joke to me, that it kept me in laughter for three terms, and in fact it was the best thing could happen me, for I had nothing else to do. The hall of the Four Courts was a very pleasant lounge, plenty of agreeable fellows that never earned sixpence, or were likely to do so.""","other"
"Not at all ; it is because you have been insane enough to refuse a man whom you love, and who very likely won't give you a second chance.' ' I beg to say,' replied Georgina, ' that I have never been in love in my life. If I felt the slightest symptom of such a disease coming on, I should instantly set sail for the Antarctic Ocean and never be heard of again. I should feel that I had genossen das irdische Glilck^ and that it was high time for me to disappear from civilised society.' ' It isn't the slightest use to talk to me like that,' returned Clare loftily; 4t doesn't deceive me for a moment.' '","domestic"
"But after his two years' incarceration are over, he will come out again and claim you.' ' I will have broken the chain by that time. I will have gone far away where he shall never find me.' ' And you met Cortes in San Francisco ?* * Yes, sir.* *And that scoundrel Sandie Macpherson had some hand in your marrying him ? ' The girl's cheek became as white as ashes. ' Who has told you that ?","domestic"
"Among other things, the talk turned on the revolt which had broken out the day before. Mr. Cameron belonged to a family which had distinguished itself by upholding liberal views during the long reign of the Tory party in England and Scotland. A thorough Liberal himself, he had long been disgusted with the state of things in Russia ; and, though far too wary (canny Scot that he was) to speak out his mind openly, he thoroughly sympathised with the conspirators, and, so far from being shocked at the outbreak, looked on its authors as heroes. Helen had been brought up in her father's views, and shared them with all the strength of her enthusiastic nature. Now that Mr. Cameron was alorte with her, and pretty sure that there were no ears in the walls, he spoke warmly about the unhappy men who had been checkmated the day before. He knew some of the leaders ; and lie spoke of them as martyrs in the cause of freedom. One expression, which he used, struck Helen very much.","domestic"
"She had been reading a book containing the lives of the early English painters, lent her in all innocence by Ralph Weldon, and VI its perusal had saddened her, as it might have done many girls of a more sanguine temperament An optimist would have dis- covered that fortunes were made in those days, as wirness the courtly Sir Joshua, with his fine coach, which he was so anxious should not resemble an apothecary's ; but she had dwelt upon the darker pictures, ‚Äî on Wilson struggling in his garret, and* without means to purchase the colours and canvas for his commissions ; on Barr}', sequestered in the squalid den, occasionally cheered by the presence of his great countr} Tnan Burke ; or Morland, taking his wet pigs to the pawnbrokers, and other depressing incidents, illustrating the general unprofitableness of an artistic career. And, woman-like, she remem- bered with a kind of dismay that Ralph had many points in common with these unfortu- nate sons of genius, notably a disinchnation to follow public taste, merely for the sake of the pecuniar}- reward it would bring. Had he not spoken in the most slighting terms of the art of Mr Flash, who had amazed thousands by painting what ever}-body could understand ? Thinking over these things made her gloomy as to the future. Enthusiasts, of course, love their art ; but those who are not enthusiasts themselves, but only con- nected with them, love their art according as it brings them more or less of what they want.","domestic"
"‚Äî How could you leave us so abruptly?"" Talbot looked confused; he had no dissimulation, and could not even at- tempt it with one he venerated so highly. His father loved him for his candour; those characters were ever dearest to him that were most open to inspection, and that did not shun the scrutiny of lynx-eyed friendship. "" Can you not answer me? ‚Äî What am I to suppose from your silence ?'^ inquired the peer, with a stern air.","domestic"
