Provenance,ID,Passage,OriginalTag,Explanation,Assignment,Title,Author,Date,Filename,TruthTag,KeyPhrase,Explanation,Tagger1,Reviewer,ReviewTag,ReviewExplanation,
Round 2 Annotations,2179_2776_2782,"‚Äî A Prophet ; one bearing a message. which seemed to embarrass him, "" but can you reconcile to your mind leaving your companion in the hour of distress. If so, be gone, I say, the counsels of a coward are hurtful to the brave. Such, ought pot to be the case with you, for how often have you not enjoined me to meet adversity with firmness, and now you shrink! As for myself,"" I continued, "" nothing shall draw my attention from the revenge I am anticipat- ing. It shall, it must be completed, or I am crushed in the attempt. Be it a winning or a losing game, I am indifferent to the result.",IDK,"dialogue, could be domestic",Sophie,"Rustum Khan; or, Fourteen nights' entertainment at the Shah Bhag, or Royal gardens at Ahmedabad ..",Ottley Thomas Henry,1831,2179.txt,other,"I did 
so, and he soon began his narrative, after a pause 
in which he refreshed himself with the hookah, 
his horsekeeper, had, on this occasion, brought 
for his own convenience. ","KeyPassage: page 273. It¥s night, and they see him coming (which would be difficult if they were in a room with a door). The text doesn¥t mention any entrance/doors, and I assumed if there is a horsekeeper, there might also be horses, so they might be outside. Later, there is this sentence: Let us now, hov/ever, speed our way to 
the city, for here we are never safe. Indeed, when 
standing under the very gates of Ahmedabad, 
with such insufficient guards as those who now 
mount over its safety (on whom may curses light), 
little dependancecan be placed in such a situation.  (p. 278)",Sophie,Jessica,Other,"They talk about wanting to get back into a domestic space, and there‚Äôs the rustling of leaves. ",
Round 2 Annotations,1178_8075_8081,"Well, you remember that day, and that you were taken up on suspicion. Greenwood."" ""Aye, sir, I'se never forget it to my dying day."" ‚Ä¢ "" Did any one believe you had done the deed you were accused of? "" "" I didn't me self, sir ; lors, how could 'un ? "" """,IDK,"dialogue, could be domestic",Sophie,Her dignity and grace : a tale,H C,1880,1178.txt,domestic,"The 
Squire took his place in his great arm-chair, with 
his wife and Lucy on either side. Mr. and Mrs. 
Dale, Mr. and Mrs. Royle, the Misses Caven- 
dish, Mr. Vyal and his wife, and other neigh- 
bours, were placed on each side, and the tenants 
and others along the end of the room. ",They gather in a room in their house.,Sophie,Jessica,Domestic,"Yes, definitely the gathering of guests in a domestic space. ",
1000 Annotations,1157_36011_36017,"hed out, which missed Claude, and fell right over Jack, \ Take that,'* said ihe old hag, \""^and [perhaps you will get a little worse, if you don't be jogging while you may.'* *< Come, come, old lady,'* said Claude, \""you have got hold of the wrong cus- tomers to try any threats upon. We have made up our minds to ask you a civil question, and we will not only ask if, but we will have an answer to it likewise, or we will have your cottage dowm about your ears.\"" \"" Confound the old hag,\"" said Jack, \"" the has drenched me.\"" f What's your question, idiot?\"" cried the old woman. \""Ah! now you are talking to yourself, eld girl.""",NA,,Sophie,"Gentleman Jack; or, Life on the road","Grey, Mrs. Elizabeth Caroline",1852,1157.txt,other,"The old woman immediately retired into the cottage,f and closed the door with- 
a bang, without deigning to say another word to Claude and his companions. 


"" This is rather funny,"" said Dick. ** What do you make of it, Claude ? What 
does it mean V* 


*' I don't knowó I suppose she is cracked.*' 
' *' Possibly,"" said Jack, rather drily. 


""At all events, I will have her out again,"" said Duval, as he leant from his 
saddle, and began banging at the door with the handle of his riding whip. ó 
"" Hillca, old dame ! Hilloa ! your society is so delightful, that we want a little 
more of itó Hilloa! House ó house! Come out ó come out !"" 


Rap, rap, rap, went the heavy handle of the riding whip, and then the window- 
was opened suddenly, and a jug of water was da?hed out, which missed Claude, 
and fell right over Jack, 


"" Take that,'* said ihe old hag, ""^and [perhaps you will get a little worse, if 
you don't be jogging while you may.'* ",They are left standing outside the woman¥s house.,Sophie,Jessica,Other,"The characters have just ridden horses to someone‚Äôs domestic space: ‚Äú‚Ä¶ said Duval, as he leant from his saddle, and began banging at the door with the handle of his riding whip‚Äù",
"Unfiltered Annotation, Round 18",2695_4356_4362,"No one can explain so well as Mrs. Penguin how the mistake has originated, to her I refer you ; for myself, I will say no more, but I repeat that I am innocent."" "" Mistake ! you young prevaricator ! What mistake could there be in an affair of this sort, except that you mistook the woman you had to deal with ? It was wrong, perhaps, of me to expose you to such a temptation ; but what a fine developement of character has it afforded me ! How has it unmasked the treachery of the pretended friend !",IDK,,Sophie,The new forest : a novel,"Smith, Horace",1829,2695.txt,domestic,"I have 
said all that I can. I was already preparing to 
quit your house, and I shall do so immediately. ","Henry is in someone¥s house, getting ready to leave.",Sophie,Jessica,Domestic,"Part of the dialogue: ‚ÄúIs this your gratitude for all the kindness I have shown you, to creep into my house, like a falsehearted, deceitful thief, to rob me of my most precious treasure?‚Äù",
Round 2 Annotations,1139_437_443,"She shall not go."" "" You are not married yet, Cyril,"" said Lilian, laughing. "" My dear boy, why should Marion not go ? "" asked his mother, in surprise. '' She is delighted at the prospect. It is perhaps the only cliance she will have of going abroad for any length of time. Once married, a girl cannot see much of the world, as the admiral says, and a country curate's wife is especially bound to home."" "" And do you suppose, mother, that I shall always be a country curate ? "" asked Cyril, with fire. """,IDK,"dialogue, could be domestic; in novel: ""The children sprang upon Cyril, and he, 
 having caressed them, took a seat by Lilian, 
 who was at the writing-table,‚Äú; ‚ÄûA lady lay on a sofa near the fire, and a 
 boy and a girl of some eight and nine years 
 rolled on the hearthrug with some toys.‚Äú",Svenja,The silence of Dean Maitland : a novel,Gray Maxwell d 1923,1886,1139.txt,domestic,"The children sprang upon Cyril, and he, 
  having caressed them, took a seat by Lilian, 
  who was at the writing-table","dialogue, could be domestic; in novel: ‚ÄûA lady lay on a sofa near the fire, and a 
  boy and a girl of some eight and nine years 
  rolled on the hearthrug with some toys.‚Äú",Svenja,Jessica,Domestic,"Agreed, and if you scroll way up there‚Äôs aline that says ‚ÄúHe never left Lilian while slie was in the house‚Äù (bad OCR)",
1000 Annotations,2483_4542_4548,"It's lovers that mean nothing that I object to ‚Äö√Ñ√Æ lovers, indeed ! Lovers of meats and drinks that they get out of the mistress's pantry ! That's the style of lovers we have so many of. If they'd to pay for their galla- vantino^ thev'd think twice about it, I'd warrant them ! \ Kellie lauo-hed outrioht at this, and 'Mhs Brewis even o-ave a thin o'lo-oie. \"" Well, you may laugh, ma'am,\"" she said ; ^' you're young, and certainly, for that matter, I'm not particularly old ; but wait till you keep house yourself. A house looks j^leasant enough, and sounds pleasant enough ; but when one has to pay for everything in it ‚Äö√Ñ√Æ coals to begin with, meat, taxes, lovers ‚Äö√Ñ√Æ lovers in jam ‚Äö√Ñ¬¢closets even ‚Äö√Ñ√Æ you'll see !""",NA,"In novel: ""And 
 Miss Brewis sniffed the thick cold air disdain- 
 fully with her red nose. [‚Ä¶] But about the rooms ‚Äî I can answer for them 
 being clean, at all events.‚Äú ‚Äî> indoors; ‚ÄûJoannah went 
 up to London to look after her property, and, 
 struck perhaps with the life and bustle in towu, 
 so different to her homely country experience, 
 she determined to start a lodoino‚Äô-house.‚Äú ‚Äî> domestic",Svenja,Crsus's Widow : A novel,"Russell, Dora",1883,2483.txt,domestic,"Joannah went 
  up to London to look after her property, and, 
  struck perhaps with the life and bustle in towu, 
  so different to her homely country experience, 
  she determined to start a lodoino‚Äô-house","‚ÄûAnd 
  Miss Brewis sniffed the thick cold air disdain- 
  fully with her red nose. [‚Ä¶] But about the rooms ‚Äî I can answer for them 
  being clean, at all events.‚Äú ‚Äî> indoors;",Svenja,Jessica,Domestic,‚ÄúEver) thing in Miss Brewis‚Äôs house was remarkably clean.‚Äù,
1000 Annotations,0905_2832_2838,"It was then that your father found me. Chance brought him to my studio, and there his artist's eye taught him at once the value of my work. He was rich, and he was the leader of a certain art circle in Rome. He took me up, and made me known. Commissions flowed in, and I became pros- perous. He introduced me to the beautiful and wealthy young countess, who consented to share my lot, and become the wife of the once penniless sculptor ; and as her husband, my name was made, my fortune secure. ' But I never forgot that to Philip Debenham I owed all my wealth and happiness ; I am not ungrateful, and I never was tempted to forget that fact.",NA,"In novel: ""Tor had joined him in the garden one 
 evening‚Äú ‚Äî> outside, non-domestic",Svenja,Torwood's trust. A novel,Everett Green Evelyn 1856 1932,1884,905.txt,other,"Tor had joined him in the garden one 
  evening","garden, outside; then non-scenic",Svenja,Jessica,Other,I used the same line about going into a garden. ,
"Unfiltered Annotation, Round 24",2877_1115_1121,"Mother, I want to go home to-morrow instead of going to Boyne Gate ; no. Lady St. Just, don't say that I'm tired of you, and don't be angry with me ; I can't be happy until I know why Walter GifFord seems to have foro'otten me."" "" You're not weak enough to waste a thous^ht about a man who even seems to have forgotten you, I hope,"" her mother says, coldly, and the flush deepens on Ethel's brilliant face as she answers: "" Yes, I am ; for I know it's only seeming."" "" Mr. Giflbrd must be unlike any other fellow in the world if he could forget Miss Heatherley,"" Lord Kenmare says, with a gallant effort, ""though I wish, with all my heart, you could forget him,"" he adds, in a low tone, to Ethel. "" Perhaps I wish it, too,"" she murmurs, for the pertinacious young lover who is present does contrast favourably just now with the apparently negligent one who is absent. And on the strength of these words, uttered partly in pique and partly in idleness.",IDK,"In novel: ""as soon as she gets into her mother's room,‚Äú ‚Äî> at the Bishop‚Äôs?",Svenja,Allerton Towers. A novel,"Thomas, Annie",1882,2877.txt,domestic,as soon as she gets into her mother's room,at the Bishop‚Äôs private house,Svenja,Jessica,Domestic,"Here‚Äôs the line I used: ‚ÄúBy-and-bye Ethel and Lord Kenmare come in, and Mrs. Heatherley is disappointed at the first glance.‚Äù",
Round 2 Annotations,2148_743_749,"It is not every man who will show his sentiments in a way which satisfies an anxious mother. The Duch- ess, however, was pleased with Winton. His look and tone when he spoke of her daughter satisfied her. He was fond enough, adoring enough, reverential enough to content her ; and how much this was to say ! "" Well,"" she said, "" we will hope you may be right, Mr Winton. You know men and human nature, no doubt, better than I do, who am only about twice your age,"" she added, with a soft Httle laugh. '* Anyhow, I wish with my whole heart that you may prove to be right.",IDK,"dialogue, could be domestic",Alex,The Duke's daughter and The Fugitives,"Oliphant, Mrs. Margaret",1890,2148.txt,DOMESTIC,"She had not risen from her own chair, but sat behind her writing-table, which was laden  with papers, and across this barrier held out her hand to him, and gave him a benign but somewhat distant smile.",Man comes to house to ask mother (duchess) for Jane's hand. They talk in her chamber.,Alex,Svenja,,,
1000 Annotations,2533_3664_3670,"What do you think, Sir, of that gentleman,\ said Mr. Mortimer, \"" as a husband for your ward r \"" Think, Sir !'' answered Mr. Riddleton, \"" I feel all of a twitter at the very thought of the dan- ger she has escaped. Only think, Mr. Mortimer, the everlasting disgrace that would attach to me, if a ward of mine should be married to a man who had such an awful propensity to plun- der pantries ; and then to see the number of names by which the fellow goes ‚Äö√Ñ√Æ Frederick Stratton, alias Shepherd, a relation of the no- torious Jack Shepherd perhaps, alias Miller, ahas Smith. What a pity it is that he was not committed for trial and convicted, and sentenced to fourteen years' transportation ; I don't like hanging ; Silversides says he does not approve of the punishment of death for any thing but murder, and I am quite of his opinion ; and if this fellow were to be transported for fourteen years, then, perhaps, Amelia might be married before his return, and then there would be no danger.\"" \"" I should not apprehend that there would be much danger now, if the young lady were pro- perly aware of the gentleman's character.\"" \"" Right,\"" said Mr. Riddleton ; \"" right, I did not think of that; she ought certainly to be informed of it.*\"" Forthwith Amelia was summoned, and Mr. Riddleton was handing to her the paper, when he was interrupted by Mr. Mortimer hastily seizing it, and saying, \"" Stay, Sir ; that paper is not altogether fit for a young lady's perusal ; you had better read aloud the information you wish to communicate.\""\"" Mr. Riddleton was a fidgetty man, and had sudden freaks; and at hearing this, he quickly and pettishly replied, \""""",NA,,Alex,Tales of a briefless barrister,"Scargill, William Pitt",1829,2533.txt,DOMESTIC,Mr. Morti- mer carried the said paper to Mr. Riddleton's house on the day of its pubhcation,Passage is in conversation following this,Alex,Jessica,,,
1000 Annotations,2716_8339_8345,"he said, with a strong Welsh accent, \ to be up this hour of the morning, and rambling over the hills all by herself. I saw her a while ago from my bedroom window trotting along as comfortable as possible, and as if sbe had known the way from a child/^ '^ In which direction was she going V asked Janet^ eagerly. ^^ Why, the road that we went yesterday ; the road that leads to Ben Dulas tarn/' \"" Her ladyship is too weak and ill to come back on foot, and alone/' said Janet. \"" I will hasten after her, and do you get out the ponies and follow as quickly as possible. I will engage that you shall be well remunerated for your trouble.'' ^'""",NA,,Alex,Under lock and key; a story,Speight T W Thomas Wilkinson 1830 1915,1869,2716.txt,OTHER,"At the upper end of this plateau stood a grim moss-grown old building of considerable size, half farm house, half country inn. At this place they halted, and in answer to Janet^s enquiries were told in broken English that they could be accommodated for the night.","Difficult one. Staying at ""half farm house, half country inn""--problematic because it's neither wholly domestic or not, I lean towards OTHER because this place is marked historically as predating the rigid separation of domestic from non-domestic dwellings. It has a ""landlord"" with a ""household"" but it is accomodating the main characters on a temporary basis. Also: ""These questions were still in her mind when she heard a heavy footstep descending the stairs inside the house. It was the landlord, their guide of the previous day, who was rising thus early."" And more immediate context: ""Hurrying downstairs^ she found that there were no signs of anyone belonging to the household having yet arisen. "" ",Alex,Mark,,,
"Unfiltered Annotation, Round 15",2986_13783_13789,"Tell it you ‚Äö√Ñ√Æ tell what to you ?"" continued the clown, still beating about the bush, with the oafish waggery that characterized him. '' Mayhap, ‚Äö√Ñ√Æ mayhap, I say, you know what I be going to tell you. Well, well, don't be angered wi' me. I will tell it you. In a word, then, who should you suppose, after all, Colonel Renmore turns out to be ?"" "" Colonel Renmore !'* both Jackson and the bard exclaimed. '^ Is it of him your news is ? Who should he turn out to be, pray, but himself?"" """,IDK,,Alex,James Hatfield and the Beauty of Buttermere : a story of modern times,Unknown,1843,2986.txt,OTHER,"But just here the attention of Jackson was called to the sound of footsteps approaching the spot where himself and the poet of nature were convers- ing. They both turned hastily round to see whose the form should be that advanced, when forth from the thicket which clothed the sides of the hill emerged the figure of a clodpole, who v/as pursu- ing his way doggedly along, with a bundle at his back, and who had struck into the path by the meer-side, from the high road, which ran at no very great distance off.",They're outdoors talking. The key phrase is just above.,Alex,Svenja,,,
Round 2 Annotations,0237_2739_2745,"She had no more experience of boykind than if she had been brought up in a desert island. '^ Not much ‚Äî about fifteen pounds a year."" She breathed a sigh of relief. '^ But he had better not go till after Christmas,"" Freeland added. "" What could you do with him in the holidays ? Let him come to me for the present, and begin his schooling in January. And I have thought of something else, Miss Helwyse.",IDK,"dialogue, could be domestic",Jessica,Bridget,"Betham, Walter",1877,237.txt,domestic,"A boy is at best an intract- 
able animal in such a home as Helwyse's 
had been up till now","If you scroll up far enough, it's revealed that this scene takes place in a home. ",Jessica,Mark,,,
Round 2 Annotations,0708_3786_3792,"I have long known that you have a tendency to be so,"" he answered, looking into her bright- ened face with something in his own which was only kept in abeyance by the deep respect this quiet, self-depreciating girl had ever inspired in him, "" but I would not dare to speak of it to you even now, if we were not on the eve of parting for an indefinite time. I have thought that perhaps it might do you some little good to talk for once freely and unreservedly of the cares which weigh upon you, with a friend who, how- ever unfitted in other respects to sympathise with you, may at least claim the right that a very deep and sincere interest in your happiness must surely give him. If I am too bold, Miss Joanna, you must check me. I know that in reality I am risking your displeasure for the sake of what may turn out to be but an imaginary benefit to you."" '' My displeasure !"" said Joanna, in a tone that suggested, at any rate to her attentive listener, a whole volume of touching eloquence, ""need I tell you, Mr. Oliver, what sympathy and kind- ness are to those who exist in a lonely world, who feel that they are less than nothing to those, around them, who know that the fault is in themselves, and yet have no power to mend it ? Ah, you cannot guess what it is to me even to be admonished or reproved by anyone who is sufficiently interested in me to admonish or reprove me as a friend.",IDK,"dialogue, could be domestic",Jessica,Elsie's married life : a tale,Daniel Mrs Robert Mackenzie,1865,708.txt,nondomestic,"Close by he discerned a huge moss- 
covered boulder overhanging the stream ; it 
looked a tempting resting-place. He turned 


VOL. T. o 


towards it, and found, to his surprise, that 
the further side of it w^as abeady occupied 
by a woman dressed in black, who, with her 
chin resting on her hands, was looking out 
dreamily over the river towards the ruins of 
Bolton Abbey. ","It took a lot of scrolling to find the location for this one, and even then, I was surprised to see that it takes place at a boulder outside??",Jessica,Alex,,,
1000 Annotations,1994_314_320,"I see you have both dined ; so, do you, Harriet, put the plates which have not been used into that cupboard, and also any of the knives and forks that are clean ; take care that you have only the clean ones. Fanny will help Jenny to carry the others into the kitchen and wash them ; and when all is done we will go into the garden. Harriet did as she was desired ; but slowly and sorrowfully : and before she had finished, her sister and the servant had cleared the table and taken away every thing. When she turned round she perceived her mother sweeping up the crumbs with the hearth-brush, and gazed on her with silent astonishment. Soon after they went into the garden, the ornamental part of which, was not in very good order, fo¬¨¬™i' there was no one to take care of it but an old peasant, the father of their servant Jenny ; and he could not attend to the flowers, though he had his cab- bages and sallad in excellent condition, and ex~ hibited them with great pride to his mistress. Mrs. Maynard then told her daughters, that, for their pastime, she would assign to each a share of that part of the garden next the house, which she hoped they would take good care of: and desired Harriet, as the eldest, to make her choice between the flower plots and the straw- berry beds. Harriet said that she did not un- derstand the care of either; but, on her mother telling her that she must learn, and that the old man would instruct her, she chose the flowers. \ I myself,\"" said Mrs. Maynard, \"" will under- take the care of this little arbour ; and Fanny shall be mistress of those strawberry beds, which I hope her care will render very productive.\""""",NA,,Jessica,The sisters of Nansfield. A tale for young women,Moore Margaret King 1772 1835,1824,1994.txt,domestic,"in the humbler 
affairs of the household, which was quite new to 
them.","It feels pretty clear even in this passage and the surrounding ones that the kitchen is domestic, but if you scroll up a bit it's confirmed that it's a ""household.""",Jessica,Svenja,,,
"Unfiltered Annotation, Round 8",1142_3678_3684,"You shall stay and behold the husband of my early choice, and then I wish you not * To stand upon the order of your going, But go at once.' For the truly- noble Ashton family bids me assure you, that their vengeance is ‚Äö√Ñ√Æ VOL. III. H forgiveness! forgiveness ! Go, then, and scouted and despised, as ye will be, in every society^ go !",IDK,,Jessica,Who is the bridegroom?,Green Sarah novelist,1822,1142.txt,domestic,"Mrs. Bancroft, elegantly dressed, now 
entered the apartment,","""Apartment"" might still be a little too ambiguous, so I'm looking forward to the second tag here. ",Jessica,Mark,,,
Round 2 Annotations,2307_4407_4413,"I am ashamed to tell even you, what fran- tic purpose was for the moment in my heart, as I lifted her to it, and held her there, forgetful of every thing but herself! ‚Äî all that this world con- tains besides, was vanished. My aunt's 14. thrilling voice recalled me to reason : never shall 1 forget the words with which she ""adjured me ‚Äî the names she em- ployed, to fright me at my own emotion 1 Many things then passed between us, over the unconscious form of Lolotte, which if they have rooted some fond re- grets more strongly than ever, will, I trust, prevent me from sinning against holier convictions.*' Adhemar's voice shook at the conclusion, and precipitating his face in his hands, he yielded all at once to one of those passionate bursts, the more violent from their infrequency, which never, until Clarence became known to him, had he suffered human eye to witness. His friend waited with a pitying heart, until the tempest died away of itself; then anxious to relieve the fears he felt for Lolotte, enquired, whether she were altered from illness, or mere dispirited- ness. "" Dejection has begun it ‚Äî death, I fear, will end it !"" de Bourbon said se- verely. """,IDK,"dialogue, could be domestic",Mark,"Roche-blanche; or, The hunters of the Pyrenees. A romance","Porter, Anna Maria",1822,2307.txt,domestic,"I saw her to my amazement, at the convent of St. Genevieve, where I went to visit my aunt.","In a characters rooms at a ""Lodge"" - the diegesis of the story also takes place in a ""parlor""",Mark,Jessica,,,
1000 Annotations,2300_2123_2129,"The storm and tempest of passion past, and hope and confidence came again ‚Äö√Ñ√Æ that all things, even this last, most bitter cup, were ordered for his good. Almost immediately on leaving the cottage, he had sent a note to Miss Shepherd, to beg that Isabel might not be distressed about him. He would not conceal from her, he said, that it cost him a pang to resign her, which was best struggled with alone; but that, in the evening, he should be quite himself, and he hoped he might come to her again, and assist her, if it was in his power. Isabel sate in the same place, in the bright twilight of that evening, awaiting Herbert's return. The hours had passed ‚Äö√Ñ√Æ how she knew not; she was too wretched even to think. And again he stood before her, and, as he took her hand, he smiled upon her. Though he tried, however, to the uttermost, he could not efface the marks which the struo^orles of the day had left upon his face, and she shud- dered as she saw the deadly paleness of his cheek. \"" FullChadwyckBritishParse/2300.csv""",NA,,Mark,The discipline of life,"Ponsonby, Lady Emily",1848,2300.txt,domestic,"She closed the shutters of the little drawing-room, and sate down on the sofa to await him.","Mixed space - 1 sentence of Herbert leaving the home, writing, then returning. The ""in the same place"" refers to the sofa in the drawing-room of her house.",Mark,Alex,,,
1000 Annotations,2910_10539_10545,"And thus, having utterly failed, he got up and took his leave. But the worst of the matter was, that, in going home, he could not divest his mind of the idea that there might be some truth in the report. What if Lord Dumbello had gone to the Continent resolved to send back from thence some reason why it was impossible that he should make Miss Grantly his wife? Such things had been done before now by men in his rank. Whether or no Mrs. Tickler had been the letter-writing wellwisher from Littlebath, or had induced her friend to be so, it did seem manifest to him, Dr. Grantly, that Mrs. Proudie absolutely believed the report which she promulgated so diligently.",NA,,Mark,Framley Passonage. By Anthony Trollope ... With Six Illustrations by J.E. Millais ... In Three Volumes,"Trollope, Anthony",1861,2910.txt,other,"But the worst of the matter was, that, in going home, he could not divest his mind of the idea that there might be some truth in the report.","Non-spatial - takes place between visits to the ""palace"" and the receipt of a letter at home.",Mark,Svenja,,,
"Unfiltered Annotation, Round 9",1334_3493_3499,"To make, therefore, an end of all reflections at once, I warn you, Robin, that if she is not found, and resto- red to her rights, in less than a fortnight at farthest, you need not be surprised if ijou are some day removed on as short notice as you gave to her."" The old lady and farmer had an inward vievi^ of matters in a different light : They perceived that the world would say he had brought her back to keep her there as his mistress, but this elegit and inflated ha- rangue thev were unable to answer. The young man's conscience was hurt, and they were no casuists. The lady, it is true, ut- tered some involuntary sounds as he was speaking, but it was not easy to determine whether they were groans or hems of ap- probation. If one might have judged from her countenance, they were like the for- mer, but the sounds themselves were cer- tainly modulations of the latter.",IDK,,Mark,"The brownie of Bodsbeck, and other tales","Hogg, James",1818,1334.txt,domestic,Robin came as appointed ; Lindsey and his mother were sitting by themselves in the parlour when the servant announced him,Parlour in the laird's house - rural but family lives there,Mark,Jessica,,,
Round 2 Annotations,0834_1119_1125,"and guess the measure of their stomachs too."" "" My lord, you hut insult me,'^ answered de Coupland. "" Tis you who command here now. I am thrice a stranger."" "" Be it so, then, if thou wilt.",IDK,"dialogue, could be domestic",Sophie,Otterbourne; a story of the English marches,Duros Edward,1832,834.txt,domestic,"The apartment in question, was neither very 
spacious of its kind, nor finished in its appoint- 
ments, Corsinside being but a casual residence 
of the Couplands, and not the chief seat of their 
power. "," KeyPhrase: page 83. Sir John is brought into this room in a tower as a prisoner (the tower seems to be part of someone¥s home: ""Fve ruled; nor stand a cipher in mine own hall.'*' "" (p. 86)",Sophie,Alex,,,
Round 2 Annotations,1829_7025_7031,"My professional experience, I own, inclines me to hail thankfully any lessening of the load of human responsibility."" Dr. Symes drew himself up short. He became aware that he had wandered away along paths of metaphysical speculation, to a wild and unfamiliar region, through which courtesy hardly sanctioned his in- viting Mrs. Farrell to follow him, in her best gow T n and grey kid gloves. ""But really,"" he said, with his blandest smile, ""I trespass on your forbearance most unwarrantably. I advocate recrea- tion, and then proceed to w r eary you with recondite and, I fear, unorthodox questions. Forgive me, Mrs. Farrell.",IDK,"dialogue, could be non-domestic",Sophie,Colonel Enderby's wife : a novel,"Malet, Lucas",1885,1829.txt,other,"Mrs. Latimer told me, when I 
first entered the ball-room, that you had 
driven over with her and her daughters. ",KeyPassage: page 536.  They are in a ballroom that seems to be accessible many people.,Sophie,Jessica,,,
1000 Annotations,0656_451_457,"What can I do ? Whatever it is, I shall be only too glad,\ returned Mrs. Chambers effusively. \""Well, my dear, I'll soon tell you. You recollect Captain Fairfax of the Hussars ? \"" '‚Äö√Ñ¬¢ Yes, of course I do ; a dark young man, who won the Arconum cup, and spent all his time out shikarring.\"" \"" Exactly ! but he found time enough to be very rude to me and T wish to pay him off somehow.\""""",NA,,Sophie,Proper pride : a novel,"Croker, Bithia Mary",1882,656.txt,domestic,"Tiffin 
concluded, the two ladies retired, Indian 
fashion, to Miss Mason's room, and there 
donned cool white dressing-gowns, and 
subsided into long cane - lounges.",KeyPassage: page 43. They are in Miss Mason¥s room.,Sophie,Svenja,,,
1000 Annotations,0699_8050_8056,"‚Äö√Ñ√Æ for it is the sig- nal for my doom ‚Äö√Ñ√Æ the signal for my tearing filial duty from my breast for ever ! \ I go through James's pantry- window North hastens me . . . .Oh, Julia! fain would I linger here a little longer; ‚Äö√Ñ√Æ for here I have known many blessings I Where I am going, Heaven alone can tell what misery may await me. Mine are like the awful sensations that attend the translation from life to eternity More shot against tlie window ! Mandeville is impatient ! ‚Äö√Ñ√Æ He cannot feel as I do, or he would court delays.""",NA,,Sophie,"Santo Sebastiano, or, The young protector : a novel",Cuthbertson Catherine,1814,699.txt,domestic,"Immediately after the departure of Lord 
Delamore from this freezing visit, Julia was 
summoned to Lady Delamore, when, in af- 
fectionate sympathy, they mingled their 
tears and regret : and, in the course of the 
morning, our heroine received a packet, 
addressed to her, in the form of a journal, 
found upon the dressing-table of Lady 
Theodosia, M^hich ran thus : ó ",Julia seems to read the letter in Lady Delamore¥s room.,Sophie,Mark,,,
"Unfiltered Annotation, Round 30",1028_7535_7541,"The Earl was silent. "" Am I right ?"" "" You are."" "" I thought so."" "" But against my knowledge and will."" "" That was evident from thy speedy reappearance on the ground to quench the flames; and by saving the lady. But the poor child, whom thou didst save so nobly from one death in the morning, died by another at night. It seemed as if God so will- ed it.",IDK,,Sophie,The last Earl of Desmond: : a historical romance of 1599-1603. ... In two volumes. ..,Gibson Charles Bernard 1808 1885,1854,1028.txt,other,"One night, after his walk in the long chamber, 
during which he thought there was more wildness 
about the stranger's face than usual, the Earl heard 
deep groans, issuing, it appeared, from the cell 
in which the stranger was confined. Suspecting 
there must be something amiss, that the prisoner 
must be either sick or dying, he knocked hard at his 
own cell door, and after some time succeeded in 
arousing the keeper, who came to learn the cause.",They are in prison.,Sophie,Alex,,,
Round 2 Annotations,1081_293_299," Ml/ son (I acknowledge with you, Sir, that he begins to appear a very apochryphal per- sonage) will probably inherit his father's predi- lections ; and had you sent me parsonaging into the marshes instead of Joseph, I should have been far more likely to return to Heddeston with an ague caught in snipe-shooting than with a vulgar wife caught in "" "" Aha ! the truth is out then ; you do think her vulgar ! "" interrupted the old man with glee, spitefully chafing his lean hands. "" Pray now, Charles, is Lady Maria dark or fair, tall or short ? When I expressed my original disapprobation of your marriage with a poor nobleman's daughter, I certainly had not dreamt of your brother's matching with a poor clergyman's.'^ This was the first inquiry Sir Claude had ever hazarded touching his aristocratic daughter-in- law, and the opening appeared to her husband highly propitious. "" Maria is a remarkably graceful, elegant woman, Sir, without being strictly beautiful.",IDK,"dialogue, could be non-domestic; in novel: ""Go back to town to-morrow, Charles, 
 and bring them down with you‚Äú",Svenja,Mothers and daughters : a tale of the year 1830,"Gore, Mrs. (Catherine Grace Frances)",1831,1081.txt,domestic,"Go back to town to-morrow, Charles, 
  and bring them down with you","dialogue, domestic",Svenja,Svenja,,,
1000 Annotations,3226_5700_5706,"When that good woman was in a sound sleep, the door of the room where Pauline slept opened again. The girl emerged just as she had re- entered it, except that her face was white again ; and creeping slowly and quietly along the corridors, (she almost stopped her breathing as she passed Peggy's door,) she groped her way, this time, to Miss Kennedy's door. The room was still Ughted up, as Pauline saw through the key-hole. She gave the slightest tap possible, but it was enough. 'Who's there?' asked Di. ' Me ! if you please.' Miss Kennedy probably did not recog- nize who me was ; but the voice was so low and timid that she experienced no fear in opening to the intruder, which she did at once. '",NA,"In novel: ""the party had only to walk 
 a few steps, through the rectory grounds, 
 to the little church‚Äú ‚Äû and 
 though there had never been a servant at 
 Yewsdale Rectory‚Äú",Svenja,All for naught,"Woollam, Wilfred",1890,3226.txt,Domestic,"the party had only to walk 
  a few steps, through the rectory grounds, 
  to the little church‚Äú ‚Äû and 
  though there had never been a servant at 
  Yewsdale Rectory","on their way to a wedding party, but first in the private rooms of someone; maybe a servants room in a noble house?",Svenja,Jessica,,,
